panel,lane,concurrency,throughput_tps,artifact,baseline_throughput_tps,baseline_artifact,delta_percent,status,reason
panel-0,sengine-snapkv,2,373.3252386813742,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs2/performance.jsonl,282.7995921545223,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs2/performance.jsonl,32.01052937777522,success,
panel-0,sengine-snapkv,4,615.8777735910534,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs4/performance.jsonl,396.9237163254184,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs4/performance.jsonl,55.1627550232159,success,
panel-0,sengine-snapkv,8,1055.8031494657218,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs8/performance.jsonl,539.8433885345648,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs8/performance.jsonl,95.5758228940728,success,
panel-0,sengine-snapkv,16,1598.4917597304304,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs16/performance.jsonl,,,,skipped_by_policy,no_measured_baseline_at_same_concurrency
panel-0,sengine-snapkv,32,2116.348453303024,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs32/performance.jsonl,,,,skipped_by_policy,no_measured_baseline_at_same_concurrency
panel-0,sengine-snapkv,41,2138.2067548284576,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs41/performance.jsonl,,,,skipped_by_policy,no_measured_baseline_at_same_concurrency
panel-0,sengine-quest,1,216.88365723660795,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-quest/bs1/performance.jsonl,184.3704793371677,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs1/performance.jsonl,17.634698361868306,success,
panel-0,sengine-quest,2,398.9561034221394,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-quest/bs2/performance.jsonl,282.7995921545223,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs2/performance.jsonl,41.07379023522386,success,
panel-0,sengine-quest,4,644.6141373785624,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-quest/bs4/performance.jsonl,396.9237163254184,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs4/performance.jsonl,62.402524935062,success,
panel-0,sengine-quest,8,1154.8144071190638,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-quest/bs8/performance.jsonl,539.8433885345648,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs8/performance.jsonl,113.91656018125408,success,
