panel,model,input_len,output_len,lane,concurrency,decode_throughput_tps,decode_tokens,decode_elapsed_s,measured_steps,artifact
panel-0,qwen3-30b-fp8,32768,2048,sengine-quest,1,216.88365723660795,768,3.5410690219141543,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-quest/bs1/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-quest,2,398.9561034221394,1536,3.8500476288609207,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-quest/bs2/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-quest,4,644.6141373785624,3072,4.765641679055989,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-quest/bs4/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-quest,8,1154.8144071190638,6144,5.320335425436497,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-quest/bs8/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-quest,11,1460.8244176818357,8448,5.7830358650535345,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-quest/bs11/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-omnikv,1,218.66292911642375,768,3.512255155015737,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-omnikv/bs1/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-omnikv,2,404.66963336960833,1536,3.7956888121552765,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-omnikv/bs2/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-omnikv,4,659.875730447439,3072,4.655422010924667,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-omnikv/bs4/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-omnikv,8,1123.8819881096558,6144,5.466766141820699,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-omnikv/bs8/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-omnikv,12,1501.085809906425,9216,6.1395557397045195,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-omnikv/bs12/performance.jsonl
