panel,lane,concurrency,decode_throughput_tps,capacity_confirmed,artifact
panel-0,sengine-vanilla,3,174.9119392804971,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/qwen3-30b-fp8/sengine-vanilla-native-128k-qwen-vanilla/sengine-vanilla/bs3/performance.jsonl
panel-0,sengine-snapkv,30,2025.9543177361147,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-bs30-31/sengine-snapkv/bs30/performance.jsonl
panel-0,sengine-quest,3,428.3491312250733,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/qwen3-30b-fp8/sengine-quest-native-128k-qwen-quest/sengine-quest/bs3/performance.jsonl
panel-0,sengine-omnikv,3,389.65931705250506,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/qwen3-30b-fp8/sengine-omnikv-native-128k-qwen-omnikv/sengine-omnikv/bs3/performance.jsonl
panel-0,vllm-vanilla,3,167.85849663622716,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_20260909/qwen3-30b-fp8/vllm-vanilla-gpu2-vllm-validated/vllm-vanilla/bs3/performance.jsonl
panel-0,tangram-snapkv,32,1428.0804260801622,False,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs32/performance.jsonl
panel-0,hisparse-quest,2,211.49579203987466,False,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_20260909/qwen3-30b-fp8/hisparse-quest-gpu2-external/hisparse-quest/bs2/performance.jsonl
panel-0,vortex-quest,3,351.4559526815543,False,/data2/haojitai/outputs/Sparse-vLLM/quest_portable_throughput_20260910/verification-runs/qwen3-30b-fp8/vortex-quest-final-128k-v1/vortex-quest/bs3/performance.jsonl
panel-1,sengine-vanilla,5,266.3645650723186,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/glm4.7-flash/sengine-vanilla-native-128k-glm-vanilla/sengine-vanilla/bs5/performance.jsonl
panel-1,sengine-snapkv,55,2799.5650542140047,False,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/glm4.7-flash/sengine-snapkv-glm-wave2-bs55-clean-systemd-r2-r1/sengine-snapkv/bs55/performance.jsonl
panel-1,sengine-quest,5,488.9424658590159,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/glm4.7-flash/sengine-quest-native-128k-glm-quest/sengine-quest/bs5/performance.jsonl
panel-1,sengine-omnikv,5,426.51024179895046,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/glm4.7-flash/sengine-omnikv-native-128k-glm-omnikv/sengine-omnikv/bs5/performance.jsonl
panel-1,vllm-vanilla,6,285.9490058219348,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_20260909/glm4.7-flash/vllm-vanilla-glm67-vllm-boundary/vllm-vanilla/bs6/performance.jsonl
